iter	Logloss
0	0.6895410481
1	0.6862759755
2	0.6827559338
3	0.6794776629
4	0.6763314127
5	0.6731460804
6	0.6699810136
7	0.6670674362
8	0.663934178
9	0.6608226399
10	0.6578270087
11	0.6548510589
12	0.6519291806
13	0.6495212806
14	0.6469460838
15	0.6443912471
16	0.642028689
17	0.6395137247
18	0.6370051125
19	0.6345588272
20	0.6324290137
21	0.6300357567
22	0.6278401044
23	0.625801596
24	0.6236624073
25	0.621644731
26	0.6198609182
27	0.6178899369
28	0.6157298275
29	0.6139872614
30	0.6119679224
31	0.6101487062
32	0.6084625077
33	0.6066693093
34	0.605059367
35	0.6035163119
36	0.6019205078
37	0.6002632474
38	0.5989597729
39	0.5975032714
40	0.5960248044
41	0.594435805
42	0.5927529936
43	0.5911740787
44	0.58982445
45	0.5883944033
46	0.5868065872
47	0.5855058895
48	0.5843926334
49	0.5831751195
